品牌/系列	型号	CPU/芯片	CPU速度	操作系统	RAM	刷新率	主摄像头	分辨率	屏幕尺寸	颜色	网络	重量	尺寸 (长 x 宽 x 高)	存储容量	版本类型	颜色库存	保修期	配件	交付时间	5G频段	防水等级	电池容量	存储扩展	国际保修	美国价格
其他系列 Sony 索尼	Sony Xperia 10 VI	Snapdragon 6 Gen 1	2.40 GHz	Android 14	6GB	60Hz	48MP	2520×1080	6.1英寸 OLED	黑、白、蓝	5G, 4G LTE	5.78 oz (164.0 g)	6.10 in × 2.68 in × 0.33 in (155.0 mm × 68.0 mm × 8.3 mm)	128GB	解锁版	有货	1年保修	USB-C线	现货/7-10天	Sub-6	IP68	5000mAh	microSD	国际保修	$449
其他系列 Sony 索尼	Sony Xperia 1 VII	Snapdragon 8 Elite	3.39 GHz	Android 15	12GB	120Hz	48MP	2448×1032	6.5英寸 OLED	黑、卡其绿、猩红	5G, 4G LTE	6.77 oz (192.0 g)	6.38 in × 2.91 in × 0.32 in (162.0 mm × 74.0 mm × 8.2 mm)	256GB	国际版	可订购	有限国际保修	USB-C线+充电器	跨境10-15天	Sub-6	IP68	5000mAh	microSD	国际保修	$1,649
Samsung Galaxy Tab 系列	Galaxy Tab S9	Snapdragon 8 Gen 2	3.36 GHz	Android 13	8GB	90Hz	13MP	2560×1600	11英寸 Dynamic AMOLED 2X	米色、石墨色	WiFi / 5G蜂窝版	17.64 oz (500.0 g)	10.01 in × 6.53 in × 0.23 in (254.3 mm × 165.8 mm × 5.9 mm)	128GB/256GB	解锁版/WiFi	有货	1年保修	USB-C线+充电器	现货/3-5天	Sub-6/mmWave	IPX8	8000mAh	microSD	国际保修	$799/$899
Samsung Galaxy Tab 系列	Galaxy Tab S9 Plus	Snapdragon 8 Gen 2	3.36 GHz	Android 13	12GB	90Hz	13MP	2880×1848	12.4英寸 Dynamic AMOLED 2X	米色、石墨色	WiFi / 5G蜂窝版	20.67 oz (586.0 g)	11.24 in × 7.30 in × 0.22 in (285.4 mm × 185.4 mm × 5.7 mm)	256GB/512GB	解锁版/WiFi	有货	1年保修	USB-C线+充电器	现货/3-5天	Sub-6/mmWave	IPX8	10000mAh	microSD	国际保修	$999/$1,119
Samsung Galaxy Tab 系列	Galaxy Tab S9 Ultra	Snapdragon 8 Gen 2	3.36 GHz	Android 13	12GB	120Hz	13MP	3200×1848	14.6英寸 Dynamic AMOLED 2X	米色、石墨色	WiFi / 5G蜂窝版	26.00 oz (737.0 g)	12.85 in × 8.21 in × 0.22 in (326.4 mm × 208.6 mm × 5.5 mm)	256GB/512GB/1TB	解锁版/WiFi	有货	1年保修	USB-C线+充电器	现货/3-5天	Sub-6/mmWave	IPX8	11200mAh	microSD	国际保修	$1,199/$1,319/$1,559
Samsung Galaxy Tab 系列	Galaxy Tab S10 Plus	Dimensity 9300+	3.39 GHz	Android 14	12GB	90Hz	13MP	2880×1848	12.4英寸 Dynamic AMOLED 2X	月光蓝、铂金灰	WiFi / 5G蜂窝版	20.32 oz (576.0 g)	11.24 in × 7.30 in × 0.22 in (285.4 mm × 185.4 mm × 5.6 mm)	256GB/512GB	解锁版/WiFi	有货	1年保修	USB-C线+充电器	现货/5-7天	Sub-6	IPX8	10000mAh	microSD	国际保修	$999/$1,119
Samsung Galaxy Tab 系列	Galaxy Tab S10 Ultra	Dimensity 9300+	3.39 GHz	Android 14	12GB	120Hz	13MP	3200×1848	14.6英寸 Dynamic AMOLED 2X	月光蓝、铂金灰	WiFi / 5G蜂窝版	25.50 oz (723.0 g)	12.85 in × 8.21 in × 0.21 in (326.4 mm × 208.6 mm × 5.4 mm)	256GB/512GB/1TB	解锁版/WiFi	有货	1年保修	USB-C线+充电器	现货/5-7天	Sub-6	IPX8	11200mAh	microSD	国际保修	$1,199/$1,319/$1,559
Samsung Galaxy Tab 系列	Galaxy Tab S10 FE	Exynos 1380	2.60 GHz	Android 14	8GB	90Hz	13MP	2688×1600	10.9英寸 TFT LCD	灰、银、薄荷绿、粉	WiFi / 5G蜂窝版	18.48 oz (524.0 g)	9.63 in × 6.28 in × 0.26 in (244.5 mm × 159.5 mm × 6.5 mm)	128GB/256GB	解锁版/WiFi	有货	1年保修	USB-C线+充电器	现货/5-7天	Sub-6	IPX8	8000mAh	microSD	国际保修	$449/$529
Samsung Galaxy Tab 系列	Galaxy Tab S10 FE Plus	Exynos 1380	2.60 GHz	Android 14	12GB	90Hz	13MP	2688×1600	13.1英寸 TFT LCD	灰、银、薄荷绿	WiFi / 5G蜂窝版	22.15 oz (628.0 g)	10.95 in × 7.48 in × 0.26 in (278.1 mm × 190.1 mm × 6.5 mm)	256GB	解锁版/WiFi	有货	1年保修	USB-C线+充电器	现货/5-7天	Sub-6	IPX8	10000mAh	microSD	国际保修	$649
Samsung Galaxy Tab 系列	Galaxy Tab S10 Lite	Exynos 1380	2.60 GHz	Android 14	8GB	90Hz	8MP	2560×1600	10.4英寸 TFT LCD	灰、薄荷绿、粉	WiFi版	16.23 oz (460.0 g)	9.63 in × 6.28 in × 0.28 in (244.5 mm × 159.5 mm × 7.0 mm)	64GB/128GB	WiFi版	有货	1年保修	USB-C线+充电器	现货/5-7天	-	IPX8	5000mAh	microSD	国际保修	$329
Apple iPad 系列	iPad mini	Apple A15	3.82 GHz	iPadOS 18	8GB	60Hz	12MP	2266×1488	8.3英寸 Liquid Retina	深空灰、星光、蓝、紫	WiFi / WiFi+蜂窝版	10.48 oz (297.0 g)	7.69 in × 5.31 in × 0.25 in (195.4 mm × 134.8 mm × 6.3 mm)	128GB/256GB/512GB	解锁版/WiFi	有货	1年保修	USB-C线	现货发货	-	IPX4	5440mAh	不支持	国际保修	$499/$649/$799
Apple iPad 系列	iPad Air 11 (M3)	Apple M3	3.50 GHz	iPadOS 18	8GB	60Hz	12MP	2560×1664	11英寸 Liquid Retina	蓝、紫、星光、深空灰	WiFi / WiFi+蜂窝版	16.36 oz (464.0 g)	9.75 in × 7.03 in × 0.24 in (247.6 mm × 178.5 mm × 6.1 mm)	128GB/256GB/512GB	解锁版/WiFi	有货	1年保修	USB-C线	现货发货	-	IPX4	7134mAh	不支持	国际保修	$599/$699/$899
Apple iPad 系列	iPad Air 13 (M3)	Apple M3	3.50 GHz	iPadOS 18	8GB	60Hz	12MP	2960×1936	13英寸 Liquid Retina	蓝、紫、星光、深空灰	WiFi / WiFi+蜂窝版	21.80 oz (618.0 g)	11.05 in × 8.46 in × 0.24 in (280.6 mm × 214.9 mm × 6.1 mm)	128GB/256GB/512GB	解锁版/WiFi	有货	1年保修	USB-C线	现货发货	-	IPX4	8680mAh	不支持	国际保修	$799/$899/$1,099
Apple iPad 系列	iPad Air 11 (M4)	Apple M4	3.50 GHz	iPadOS 18	8GB	60Hz	12MP	2560×1664	11英寸 OLED	深空灰、银色、金色、蓝色、紫色	WiFi / WiFi+蜂窝版	15.87 oz (450.0 g)	9.75 in × 7.03 in × 0.23 in (247.6 mm × 178.5 mm × 5.9 mm)	256GB/512GB	解锁版/WiFi	有货	1年保修	USB-C线	现货发货	-	IPX4	7300mAh	不支持	国际保修	$599/$799
Apple iPad 系列	iPad Air 13 (M4)	Apple M4	3.50 GHz	iPadOS 18	8GB	60Hz	12MP	2960×1936	13英寸 OLED	深空灰、银色、金色、蓝色、紫色	WiFi / WiFi+蜂窝版	21.34 oz (605.0 g)	11.05 in × 8.46 in × 0.23 in (280.6 mm × 214.9 mm × 5.9 mm)	256GB/512GB	解锁版/WiFi	有货	1年保修	USB-C线	现货发货	-	IPX4	8800mAh	不支持	国际保修	$799/$999
Apple iPad 系列	iPad Pro 11	Apple M4 (3nm)	4.40 GHz	iPadOS 18	16GB	120Hz	12MP	2560×1664	11英寸 Ultra Retina XDR	深空黑、银	WiFi / WiFi+蜂窝版	15.73 oz (446.0 g)	9.83 in × 6.99 in × 0.21 in (249.7 mm × 177.5 mm × 5.3 mm)	256GB/512GB/1TB/2TB	解锁版/WiFi	有货	1年保修	USB-C线	现货发货	-	IPX4	7110mAh	不支持	国际保修	$999/$1,199/$1,599/$1,999
Apple iPad 系列	iPad Pro 13	Apple M4 (3nm)	4.40 GHz	iPadOS 18	16GB	120Hz	12MP	2960×1936	13英寸 Ultra Retina XDR	深空黑、银	WiFi / WiFi+蜂窝版	20.53 oz (582.0 g)	11.09 in × 8.48 in × 0.20 in (281.6 mm × 215.5 mm × 5.1 mm)	256GB/512GB/1TB/2TB	解锁版/WiFi	有货	1年保修	USB-C线	现货发货	-	IPX4	8840mAh	不支持	国际保修	$1,299/$1,499/$1,899/$2,299
