Brand/Series	Model	CPU/Chip	CPU Speed	Operating System	RAM	Refresh Rate	Main Camera	Resolution	Screen Size	Color	Network	Weight	Dimensions (L x W x H)	Storage Capacity	Version Type	Color Stock	Warranty	Accessories	Delivery Time	5G Band	Waterproof Grade	Battery Capacity	Storage Expansion	International Warranty	US Price
Samsung Galaxy Tab Series	Galaxy Tab S10 FE	Exynos 1380	2.60 GHz	Android 14	8GB	90Hz	13MP	2688×1600	10.9" TFT LCD	Gray, Silver, Mint Green, Pink	WiFi / 5G Cellular	18.48 oz (524.0 g)	9.63 × 6.28 × 0.26 in	128GB/256GB	Unlocked/WiFi	In Stock	1 Year	USB-C Cable + Charger	In Stock/5-7 Days	Sub-6	IPX8	8000mAh	microSD	International	$449/$529
Samsung Galaxy Tab Series	Galaxy Tab S10 FE Plus	Exynos 1380	2.60 GHz	Android 14	12GB	90Hz	13MP	2688×1600	13.1" TFT LCD	Gray, Silver, Mint Green	WiFi / 5G Cellular	22.15 oz (628.0 g)	10.95 × 7.48 × 0.26 in	256GB	Unlocked/WiFi	In Stock	1 Year	USB-C Cable + Charger	In Stock/5-7 Days	Sub-6	IPX8	10000mAh	microSD	International	$649
Samsung Galaxy Tab Series	Galaxy Tab S10 Lite	Exynos 1380	2.60 GHz	Android 14	8GB	90Hz	8MP	2560×1600	10.4" TFT LCD	Gray, Mint Green, Pink	WiFi	16.23 oz (460.0 g)	9.63 × 6.28 × 0.28 in	64GB/128GB	WiFi	In Stock	1 Year	USB-C Cable + Charger	In Stock/5-7 Days	-	IPX8	5000mAh	microSD	International	$329
Apple iPad Series	iPad mini	Apple A15	3.82 GHz	iPadOS 18	8GB	60Hz	12MP	2266×1488	8.3" Liquid Retina	Space Gray, Starlight, Blue, Purple	WiFi / WiFi+Cellular	10.48 oz (297.0 g)	7.69 × 5.31 × 0.25 in	128GB/256GB/512GB	Unlocked/WiFi	In Stock	1 Year	USB-C Cable	In Stock	-	IPX4	5440mAh	Not Supported	International	$499/$649/$799
Apple iPad Series	iPad Air 11 (M3)	Apple M3	3.50 GHz	iPadOS 18	8GB	60Hz	12MP	2560×1664	11" Liquid Retina	Blue, Purple, Starlight, Space Gray	WiFi / WiFi+Cellular	16.36 oz (464.0 g)	9.75 × 7.03 × 0.24 in	128GB/256GB/512GB	Unlocked/WiFi	In Stock	1 Year	USB-C Cable	In Stock	-	IPX4	7134mAh	Not Supported	International	$599/$699/$899
Apple iPad Series	iPad Air 13 (M3)	Apple M3	3.50 GHz	iPadOS 18	8GB	60Hz	12MP	2960×1936	13" Liquid Retina	Blue, Purple, Starlight, Space Gray	WiFi / WiFi+Cellular	21.80 oz (618.0 g)	11.05 × 8.46 × 0.24 in	128GB/256GB/512GB	Unlocked/WiFi	In Stock	1 Year	USB-C Cable	In Stock	-	IPX4	8680mAh	Not Supported	International	$799/$899/$1,099
Apple iPad Series	iPad Air 11 (M4)	Apple M4	3.50 GHz	iPadOS 18	8GB	60Hz	12MP	2560×1664	11" OLED	Space Gray, Silver, Gold, Blue, Purple	WiFi / WiFi+Cellular	15.87 oz (450.0 g)	9.75 × 7.03 × 0.23 in	256GB/512GB	Unlocked/WiFi	In Stock	1 Year	USB-C Cable	In Stock	-	IPX4	7300mAh	Not Supported	International	$599/$799
Apple iPad Series	iPad Air 13 (M4)	Apple M4	3.50 GHz	iPadOS 18	8GB	60Hz	12MP	2960×1936	13" OLED	Space Gray, Silver, Gold, Blue, Purple	WiFi / WiFi+Cellular	21.34 oz (605.0 g)	11.05 × 8.46 × 0.23 in	256GB/512GB	Unlocked/WiFi	In Stock	1 Year	USB-C Cable	In Stock	-	IPX4	8800mAh	Not Supported	International	$799/$999
Apple iPad Series	iPad Pro 11	Apple M4 (3nm)	4.40 GHz	iPadOS 18	16GB	120Hz	12MP	2560×1664	11" Ultra Retina XDR	Space Black, Silver	WiFi / WiFi+Cellular	15.73 oz (446.0 g)	9.83 × 6.99 × 0.21 in	256GB/512GB/1TB/2TB	Unlocked/WiFi	In Stock	1 Year	USB-C Cable	In Stock	-	IPX4	7110mAh	Not Supported	International	$999/$1,199/$1,599/$1,999
Apple iPad Series	iPad Pro 13	Apple M4 (3nm)	4.40 GHz	iPadOS 18	16GB	120Hz	12MP	2960×1936	13" Ultra Retina XDR	Space Black, Silver	WiFi / WiFi+Cellular	20.53 oz (582.0 g)	11.09 × 8.48 × 0.20 in	256GB/512GB/1TB/2TB	Unlocked/WiFi	In Stock	1 Year	USB-C Cable	In Stock	-	IPX4	8840mAh	Not Supported	International	$1,299/$1,499/$1,899/$2,299
